prizeLabel,personLabel,sexlabel
Premio Ojo Crítico,Ana Isabel Conejo,femenino
Gran Premio de Novela de la Academia Francesa,Christophe Ono-dit-Biot,masculino
Gran Premio de Novela de la Academia Francesa,Daniel Rondeau,masculino
Gran Premio de Novela de la Academia Francesa,Jean Hougron,masculino
Gran Premio de Novela de la Academia Francesa,Jean Husson,masculino
Gran Premio de Novela de la Academia Francesa,Joseph-Henri Louwyck,masculino
Gran Premio de Novela de la Academia Francesa,Jean Balde,femenino
Premio Strega,Tiziano Scarpa,masculino
Premio Strega,Alberto Bevilacqua,masculino
Premio Nacional del Libro de Ficción,Jaimy Gordon,femenino
Premio Nobel de Literatura,V. S. Naipaul,masculino
Premio Nobel de Literatura,John Coetzee,masculino
Premio Nacional del Libro de Ficción,Alice McDermott,femenino
Premio Nacional del Libro de Ficción,Lily Tuck,femenino
Premio Strega,Paolo Volponi,masculino
Premio Nadal,Francisco Casavella,masculino
Premio Strega,Gesualdo Bufalino,masculino
Premio Herralde,Guadalupe Nettel,femenino
Premio Ojo Crítico,Alejandro Cuevas,masculino
Premio Loewe,Lorenzo Oliván,masculino
Premio Herralde,Félix de Azúa,masculino
